idRestaurant,InspectionDate,ViolationCode,ViolationDescription,CriticalFlag,Score,Grade
40384757,2013-03-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18.0,
40384757,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18.0,
40384757,2013-03-13,02B,Hot food item not held at or above 140º F.,Critical,18.0,
40384757,2013-03-13,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,18.0,
40389681,2013-03-13,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,
40392872,2013-03-13,02B,Hot food item not held at or above 140º F.,Critical,21.0,
40392872,2013-03-13,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,21.0,
40392872,2013-03-13,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,21.0,
40401173,2013-03-13,09C,Food contact surface not properly maintained.,Not Critical,21.0,
40401173,2013-03-13,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,21.0,
40401173,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21.0,
40401173,2013-03-13,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,
40511702,2013-03-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A
40511702,2013-03-13,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,
40511702,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A
40511702,2013-03-13,20F,Current letter grade card not posted.,Not Critical,,
